id,nb_drifts,nb_behaviors_detected,silhouette        ,AE_model_error
3 ,1        ,2                    ,0.3439486622810364,"(0.11550125336944275, 0.00029342933)"
1 ,2        ,3                    ,0.5314461588859558,"(0.16775998599944314, 0.0005572108)"
5 ,2        ,3                    ,0.6092740297317505,"(0.13935473099038864, 0.00042890938)"
6 ,2        ,3                    ,0.5066685080528259,"(0.13419996309264792, 0.00032263505)"
0 ,3        ,4                    ,0.5422889590263367,"(0.14688410357696804, 0.0005102605)"
2 ,3        ,2                    ,0.4467647075653076,"(0.15905749044940853, 0.0003638661)"
4 ,3        ,4                    ,0.5240893363952637,"(0.16890400198344482, 0.00048685528)"
7 ,3        ,4                    ,0.7634701132774353,"(0.1562123998355959, 0.001239458)"
9 ,3        ,4                    ,0.5346471071243286,"(0.14377347366234136, 0.00045017552)"
8 ,4        ,5                    ,0.5344129800796509,"(0.23931879783049226, 0.0011074296)"
