id,nb_drifts,nb_behaviors_detected,silhouette         ,AE_model_error
3 ,1        ,2                    ,0.2959875762462616 ,"(0.11535583358267787, 0.0002761617)"
1 ,2        ,3                    ,0.5283622741699219 ,"(0.16713289479622667, 0.0003965005)"
5 ,2        ,3                    ,0.6264230608940125 ,"(0.13969065841892003, 0.0005150139)"
6 ,2        ,3                    ,0.5149012804031372 ,"(0.13417957682182027, 0.00031813025)"
0 ,3        ,4                    ,0.5501181483268738 ,"(0.1465162157699505, 0.00041537)"
2 ,3        ,2                    ,0.45233088731765747,"(0.15931537002325058, 0.000422416)"
4 ,3        ,2                    ,0.5585566163063049 ,"(0.16894116637900747, 0.0004951941)"
7 ,3        ,4                    ,0.6338819861412048 ,"(0.153805737291019, 0.0006189604)"
9 ,3        ,2                    ,0.43679964542388916,"(0.14328035696597863, 0.0003823738)"
8 ,4        ,5                    ,0.6244331002235413 ,"(0.24052683879078054, 0.0014002505)"
